director,href,director_birthYr,director_cn
Pablo Berger,https://www.imdb.com//name/nm0074311/,1963-0-0,"Bilbao, Vizcaya, País Vasco, Spain"
Tomm Moore,https://www.imdb.com//name/nm1119079/,1977-1-7,"Newry, Northern Ireland, UK"
Roberto Benigni,https://www.imdb.com//name/nm0000905/,1952-10-27,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy"
Oliver Schmitz,https://www.imdb.com//name/nm0005628/,1960-11-30,"Cape Town, South Africa"
Wong Kar-wai,https://www.imdb.com//name/nm0939182/,1956-7-17,"Shanghai, China"
Jean-Marie Straub,https://www.imdb.com//name/nm0833708/,1933-1-8,"Metz, Moselle, Lorraine, France"
Jean-Luc Godard,https://www.imdb.com//name/nm0000419/,1930-12-3,"Paris, France"
Peter Jackson,https://www.imdb.com//name/nm0001392/,1961-10-31,"Pukerua Bay, North Island, New Zealand"
Jeff Nichols,https://www.imdb.com//name/nm2158772/,1978-12-7,"Little Rock, Arkansas, USA"
Ingmar Bergman,https://www.imdb.com//name/nm0000005/,1918-7-14,"Uppsala, Uppsala län, Sweden"
David Lynch,https://www.imdb.com//name/nm0000186/,1946-1-20,"Missoula, Montana, USA"
Ousmane Sembène,https://www.imdb.com//name/nm0783733/,1923-1-1,"Ziguenchor, Casamance, Senegal"
Christian Petzold,https://www.imdb.com//name/nm0678857/,1960-9-14,"Hilden, North Rhine-Westphalia, Germany"
Ousmane Sembèène,https://www.imdb.com//name/nm0783733/,1923-1-1,"Ziguenchor, Casamance, Senegal"
Mike Mills,https://www.imdb.com//name/nm0590122/,1966-0-0,"Berkeley, California, USA"
Alain Cavalier,https://www.imdb.com//name/nm0146760/,1931-9-14,"Vendôme, Loir-et-Cher, France"
Mohammad Rasoulof,https://www.imdb.com//name/nm1488024/,1973-0-0,"Shiraz, Iran"
Fatih Akin,https://www.imdb.com//name/nm0015359/,1973-8-25,"Hamburg, West Germany"
Paul Thomas Anderson,https://www.imdb.com//name/nm0000759/,1970-6-26,"Studio City, California, USA"
Jim Jarmusch,https://www.imdb.com//name/nm0000464/,1953-1-22,"Akron, Ohio, USA"
Anurag Kashyap,https://www.imdb.com//name/nm0440604/,1972-9-10,"Gorakhpur, Uttar Pradesh, India"
Xavier Dolan,https://www.imdb.com//name/nm0230859/,1989-3-20,"Montreal, Quebec, Canada"
Joseph Cedar,https://www.imdb.com//name/nm0147737/,1968-8-31,"New York City, New York, USA"
Don Hertzfeldt,https://www.imdb.com//name/nm0381116/,1976-8-1,"Fremont, California, USA"
Jørgen Leth,https://www.imdb.com//name/nm0504654/,1937-6-14,"Århus, Denmark"
Jan Pinkava,https://www.imdb.com//name/nm0684342/,1963-6-21,"Prague, Czechoslovakia [now Czech Republic]"
Terence Davies,https://www.imdb.com//name/nm0203993/,1945-11-10,"Liverpool, England, UK"
Hong Sang-soo,https://www.imdb.com//name/nm0393254/,1960-10-25,"Seoul, Korea"
Marco Bellocchio,https://www.imdb.com//name/nm0069166/,1939-11-9,"Piacenza, Emilia-Romagna, Italy"
J. A. Bayona,https://www.imdb.com//name/nm1291105/,1975-5-9,"Barcelona, Catalonia, Spain"
Fernando Meirelles,https://www.imdb.com//name/nm0576987/,1955-11-9,"São Paulo, São Paulo, Brazil"
Gerhard Benedikt Friedl,https://www.imdb.com//name/nm0295068/,1967-7-21,"Bad Aussee, Styria, Austria"
Danis Tanovic,https://www.imdb.com//name/nm0849786/,1969-2-20,"Zenica, Bosnia and Herzegovina, Yugoslavia"
Nuri Bilge Ceylan,https://www.imdb.com//name/nm0149196/,1959-1-26,"Istanbul, Turkey"
Dan Gilroy,https://www.imdb.com//name/nm0319659/,1959-6-24,"Santa Monica, California, USA"
Larry Charles,https://www.imdb.com//name/nm0153078/,1956-12-1,"Brooklyn, New York City, New York, USA"
Tom McCarthy,https://www.imdb.com//name/nm0565336/,1966-6-7,"New Providence, New Jersey, USA"
Woody Allen,https://www.imdb.com//name/nm0000095/,1935-12-1,"Bronx, New York City, New York, USA"
Béla Tarr,https://www.imdb.com//name/nm0850601/,1955-7-21,"Pécs, Hungary"
Julian Schnabel,https://www.imdb.com//name/nm0773603/,1951-10-26,"Brooklyn, New York, USA"
